date,Dubai,Brent,WTI,,
2011-12-19,100.96,103.64,93.88,,
2011-12-20,102.25,106.73,97.22,,
2011-12-21,104.71,107.71,98.67,,
2011-12-22,105.27,107.89,99.53,,
2011-12-23,105.48,107.96,99.68,,
2011-12-27,105.33,109.27,101.34,,
2011-12-28,105.77,107.56,99.36,,
2011-12-29,104.61,108.01,99.65,,
2011-12-30,104.89,107.38,98.83,,
2012-01-03,105.91,112.13,102.96,,
2012-01-04,108.49,113.7,103.22,,
2012-01-05,110.23,112.74,101.81,,
2012-01-06,109.92,113.06,101.56,,
2012-01-09,110.5,112.45,101.31,,
2012-01-10,110.39,113.28,102.24,,
2012-01-11,110.95,112.24,100.87,,
2012-01-12,110.69,111.26,99.1,,
2012-01-13,109.84,110.44,98.7,,
2012-01-16,109.46,111.2,,,
2012-01-17,110.29,111.53,100.71,,
2012-01-18,109.61,110.66,100.59,,
2012-01-19,109.47,111.55,100.39,,
2012-01-20,109.5,109.86,98.46,,
2012-01-23,,110.58,99.58,,
2012-01-24,,110.03,98.95,,
2012-01-25,108.29,109.81,99.4,,
2012-01-26,108.78,110.79,99.7,,
2012-01-27,109.14,111.46,99.56,,
2012-01-30,109.75,110.75,98.78,,
2012-01-31,109.59,110.98,98.48,,
2012-02-01,109.14,111.56,97.61,,
2012-02-02,109.67,112.07,96.36,,
2012-02-03,109.9,114.58,97.84,,
2012-02-06,111.7,115.93,96.91,,
2012-02-07,113.25,116.23,98.41,,
2012-02-08,113.85,117.2,98.71,,
2012-02-09,114.53,118.59,99.84,,
2012-02-10,115.22,117.31,98.67,,
2012-02-13,115.91,117.93,100.91,,
2012-02-14,115.25,118.16,100.74,,
2012-02-15,116.43,118.93,101.8,,
2012-02-16,116.23,120.11,102.31,,
2012-02-17,117.45,119.58,103.24,,
2012-02-20,117.98,120.05,,,
2012-02-21,117.69,121.66,105.84,,
2012-02-22,119.42,122.9,106.28,,
2012-02-23,120.22,123.62,107.83,,
2012-02-24,121.57,125.47,109.77,,
2012-02-27,122.56,124.17,108.56,,
2012-02-28,121.81,121.55,106.55,,
2012-02-29,120.02,122.66,107.07,,
2012-03-01,119.64,126.2,108.84,,
2012-03-02,122.25,123.65,106.7,,
2012-03-05,121.09,123.8,106.72,,
2012-03-06,121.65,121.98,104.7,,
2012-03-07,120.75,124.12,106.16,,
2012-03-08,123.29,125.44,106.58,,
2012-03-09,123.62,125.98,107.4,,
2012-03-12,123.67,125.34,106.34,,
2012-03-13,124.21,126.22,106.71,,
2012-03-14,124.22,124.97,105.43,,
2012-03-15,123.64,123.55,105.11,,
2012-03-16,122.23,125.81,107.06,,
2012-03-19,123.94,125.71,108.09,,
2012-03-20,123.17,124.12,105.61,,
2012-03-21,123.09,124.2,107.27,,
2012-03-22,121.99,123.14,105.35,,
2012-03-23,122.18,125.13,106.87,,
2012-03-26,122.91,125.65,107.03,,
2012-03-27,123.16,125.54,107.33,,
2012-03-28,122.07,124.16,105.41,,
2012-03-29,121.57,122.39,102.78,,
2012-03-30,120.38,122.88,103.02,,
2012-04-02,119.97,125.43,105.23,,
2012-04-03,121.97,124.86,104.01,,
2012-04-04,122,122.34,101.47,,
2012-04-05,120.74,123.43,103.31,,
2012-04-09,119.69,122.67,102.46,,
2012-04-10,119.17,119.88,101.02,,
2012-04-11,116.77,120.18,102.7,,
2012-04-12,117.56,121.71,103.64,,
2012-04-13,118.38,121.83,102.83,,
2012-04-16,116.23,118.68,102.93,,
2012-04-17,115.18,118.78,104.2,,
2012-04-18,115.58,117.97,102.67,,
2012-04-19,115.4,118,102.27,,
2012-04-20,115.45,118.76,103.05,,
2012-04-23,114.57,118.71,103.11,,
2012-04-24,114.41,118.16,103.55,,
2012-04-25,115.18,119.12,104.12,,
2012-04-26,115.82,119.92,104.55,,
2012-04-27,116.32,119.83,104.93,,
2012-04-30,116.38,119.47,104.87,,
2012-05-01,,119.66,106.16,,
2012-05-02,116.59,118.2,105.22,,
2012-05-03,115.55,116.08,102.54,,
2012-05-04,112.92,113.18,98.49,,
2012-05-07,109.24,113.16,97.94,,
2012-05-08,108.97,112.73,97.01,,
2012-05-09,108.93,113.2,96.81,,
2012-05-10,109.38,112.73,97.08,,
2012-05-11,108.41,112.26,96.13,,
2012-05-14,107.94,111.57,94.78,,
2012-05-15,108.63,112.24,93.98,,
2012-05-16,107.76,111.71,92.81,,
2012-05-17,107.16,107.49,92.56,,
2012-05-18,104.48,107.14,91.48,,
2012-05-21,105.13,108.81,92.57,,
2012-05-22,105.5,108.41,91.66,,
2012-05-23,103.69,105.56,89.9,,
2012-05-24,102.24,106.55,90.66,,
2012-05-25,103.84,106.83,90.86,,
2012-05-28,104.71,107.11,,,
2012-05-29,105.01,106.68,90.76,,
2012-05-30,103.39,103.47,87.82,,
2012-05-31,101.59,101.87,86.53,,
2012-06-01,98.43,98.43,83.23,,
2012-06-04,95.16,98.85,83.98,,
2012-06-05,95.99,98.84,84.29,,
2012-06-06,97.14,100.64,85.02,,
2012-06-07,97.49,99.93,84.82,,
2012-06-08,96.51,99.47,84.1,,
2012-06-11,98.66,98,82.7,,
2012-06-12,95.41,97.14,83.32,,
2012-06-13,93.84,97.13,82.62,,
2012-06-14,95.59,97.03,83.91,,
2012-06-15,96.66,97.61,84.03,,
2012-06-18,96.47,96.05,83.27,,
2012-06-19,93.85,95.76,84.03,,
2012-06-20,94.27,92.69,81.8,,
2012-06-21,90.67,89.23,78.2,,
2012-06-22,89.15,90.98,79.76,,
2012-06-25,89.81,91.01,79.21,,
2012-06-26,91.01,93.02,79.36,,
2012-06-27,91.24,93.5,80.21,,
2012-06-28,91.77,91.36,77.69,,
2012-06-29,92.89,97.8,84.96,,
2012-07-02,93.72,97.34,83.75,,
2012-07-03,95.29,100.68,87.66,,
2012-07-04,97.17,99.77,,,
2012-07-05,97.96,100.7,87.22,,
2012-07-06,97.59,98.19,84.45,,
2012-07-09,96.76,100.32,85.99,,
2012-07-10,96.41,97.97,83.91,,
2012-07-11,96.44,100.23,85.81,,
2012-07-12,97.04,101.07,86.08,,
2012-07-13,97.68,102.4,87.1,,
2012-07-16,98.84,103.55,88.43,,
2012-07-17,100.86,104,89.22,,
2012-07-18,100.89,105.16,89.87,,
2012-07-19,102.71,107.8,92.66,,
2012-07-20,103.39,106.83,91.44,,
2012-07-23,99.62,103.26,88.14,,
2012-07-24,100.39,103.42,88.5,,
2012-07-25,100.28,104.38,88.97,,
2012-07-26,100.49,105.26,89.39,,
2012-07-27,102.06,106.47,90.13,,
2012-07-30,102.38,106.2,89.78,,
2012-07-31,101.9,104.92,88.06,,
2012-08-01,101.04,105.96,88.91,,
2012-08-02,101.73,105.9,87.13,,
2012-08-03,102.45,108.94,91.4,,
